language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
marathi,444,5,9,4,5,udep,4,left,ADV,VERB,ADP,0,1,1,modifies_head,1.55,2.5806451612903225,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,0,देईल,चे,का
marathi,444,6,9,4,6,udep,4,left,PRON,VERB,ADP,0,1,1,modifies_head,1.45,2.7586206896551726,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,2,देईल,चे,कोणी
marathi,444,7,9,4,7,udep,4,left,NUM,VERB,ADP,0,1,2,neither,1.8499999999999999,2.1621621621621623,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,0,देईल,चे,हजार
marathi,444,8,9,4,8,udep,4,left,NOUN,VERB,ADP,1,2,1,modifies_head,3.2,1.25,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,3,देईल,चे,रुपये
marathi,444,6,9,5,6,mod,3,left,PRON,VERB,ADV,0,1,1,modifies_head,1.45,2.0689655172413794,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,2,देईल,का,कोणी
marathi,444,7,9,5,7,mod,3,left,NUM,VERB,ADV,0,1,2,neither,1.8499999999999999,1.6216216216216217,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,0,देईल,का,हजार
marathi,444,8,9,5,8,mod,3,left,NOUN,VERB,ADV,1,2,1,modifies_head,3.2,0.9375,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,3,देईल,का,रुपये
marathi,444,7,9,6,7,subj,2,left,NUM,VERB,PRON,0,1,2,neither,1.8499999999999999,1.0810810810810811,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,0,देईल,कोणी,हजार
marathi,444,8,9,6,8,subj,2,left,NOUN,VERB,PRON,1,2,1,modifies_head,3.2,0.625,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,3,देईल,कोणी,रुपये
marathi,445,3,4,2,3,subj,1,left,ADV,AUX,NOUN,0,1,1,modifies_head,1.55,0.6451612903225806,Marathi,SUD_Marathi-UFAL,SOV,Indo-Aryan,South Asia,real,0,mr_ufal-sud-dev.conllu,0,आहे,देवाला,माहीत
