language,sentence_id,token_id,head_id,dependent_id,intervener_id,dependency_relation,dependency_distance,direction,intervener_upos,head_upos,dependent_upos,arity,subtree_size,depth,modifies,complexity_score,efficiency_ratio,language_label,treebank,typology,family,region,condition,replicate,source_file,morphological_richness,head_form,dependent_form,intervener_form
telugu,54,2,4,1,2,subj,2,left,ADV,VERB,PRON,0,1,1,modifies_head,1.55,1.2903225806451613,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తింటాం,మనం,ఎందుకు
telugu,54,3,4,1,3,subj,2,left,NOUN,VERB,PRON,0,1,1,modifies_head,1.6,1.25,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తింటాం,మనం,అన్నం
telugu,54,3,4,2,3,mod,1,left,NOUN,VERB,ADV,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,తింటాం,ఎందుకు,అన్నం
telugu,59,2,3,1,2,subj,1,left,NOUN,VERB,PRON,0,1,1,modifies_head,1.6,0.625,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,చెయ్యాలి,నువ్వు,పని
telugu,64,2,5,1,2,subj,3,left,DET,VERB,PRON,0,1,2,neither,1.7999999999999998,1.6666666666666667,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వచ్చింది,నేను,ఆ
telugu,64,3,5,1,3,subj,3,left,NOUN,VERB,PRON,1,2,1,modifies_head,3.2,0.9375,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వచ్చింది,నేను,పని
telugu,64,4,5,1,4,subj,3,left,VERB,VERB,PRON,0,1,1,modifies_head,1.65,1.8181818181818183,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వచ్చింది,నేను,చెయ్యాల్సి
telugu,64,4,5,3,4,comp:obj,1,left,VERB,VERB,NOUN,0,1,1,modifies_head,1.65,0.6060606060606061,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,వచ్చింది,పని,చెయ్యాల్సి
telugu,68,2,3,1,2,mod@poss,1,left,NOUN,NOUN,PRON,0,1,2,modifies_head,2.0,0.5,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,ఊరు,మీ,తల్లిదండ్రుల
telugu,69,2,4,1,2,subj,2,left,PRON,NOUN,PRON,0,1,2,neither,1.8499999999999999,1.0810810810810811,Telugu,SUD_Telugu-MTG,SOV,Dravidian,South Asia,real,0,te_mtg-sud-dev.conllu,0,గోడలు,అవి,మా
